195,194.2,194.6,953,1410,1,1.4
157,156.5,156.8,1740,2290,1.7,2.3
126,125.6,125.8,3240,3840,3.2,3.8
108,107.4,107.7,4760,5340,4.8,5.3
89,87.8,88.4,7420,7780,7.4,7.8
74,73.4,73.7,10440,10480,10.4,10.5
71,70.2,70.6,11700,11470,11.7,11.5
59,59.3,59.2,15250,14450,15.3,14.5
46,45.5,45.8,21370,19460,21.4,19.5
34,32.2,33.1,30000,25000,30,25
