07:10:00 AM,0,44,21.100
07:23:00 AM,13,53,17.400
07:34:00 AM,24,62,14.100
07:46:00 AM,36,71.1,11.200
07:56:00 AM,46,81.1,8.700
08:06:00 AM,56,92,7.000
08:18:00 AM,68,102.7,5.500
08:38:00 AM,88,121.1,3.740
09:04:00 AM,114,138,2.500
09:26:00 AM,136,152,1.850
09:47:00 AM,157,165,1.450
10:13:00 AM,183,178,1.140
10:34:00 AM,204,184.8,1.000
10:36:00 AM,206,185,0.985
10:58:00 AM,228,178,1.160
11:26:00 AM,256,166,1.460
12:05:00 PM,295,153,1.890
12:28:00 PM,318,145.8,2.170
12:52:00 PM,342,140,2.430
